Theta Phi Col1 Col2 Intensity
18.0 327.0 47585.8 43777.6 -0.086703925
18.0 330.0 41639.3 43777.6 -0.013970950000000001
18.0 333.0 49966.9 43777.6 -0.057766949999999984
18.0 336.0 43376.5 43777.6 -0.14453679999999997
18.0 339.0 46025.2 43777.6 -0.08229929999999996
18.0 342.0 43649.1 43777.6 -0.165512975
18.0 345.0 46096.1 43777.6 -0.026110025000000005
18.0 348.0 44967.0 43777.6 -0.04247035000000002
18.0 351.0 44753.4 43777.6 -0.04125337500000002
18.0 354.0 47491.0 43777.6 0.06002117499999997
18.0 357.0 53708.6 43777.6 0.08535209999999999
21.0 0.0 63718.5 47381.2 -0.0034608750000000004
21.0 3.0 59887.1 47381.2 0.26973969999999997
21.0 6.0 59486.2 47381.2 0.129851925
21.0 9.0 51217.5 47381.2 0.16400385
21.0 12.0 40249.9 47381.2 -0.038781925
21.0 15.0 41769.7 47381.2 0.07935382500000002
21.0 18.0 53345.1 47381.2 0.03275289999999999
21.0 21.0 51599.7 47381.2 0.024243024999999994
21.0 24.0 40239.6 47381.2 -0.11376087499999998
21.0 27.0 30801.6 47381.2 -0.23314127499999995
21.0 30.0 29973.3 47381.2 -0.21523609999999996
21.0 33.0 33922.3 47381.2 -0.13884794999999994
21.0 36.0 51375.3 47381.2 0.045872550000000005
21.0 39.0 43296.0 47381.2 0.02491137499999998
21.0 42.0 39575.1 47381.2 0.025951124999999974
21.0 45.0 33332.8 47381.2 -0.025033624999999986
21.0 48.0 44034.2 47381.2 0.037232924999999965
21.0 51.0 43605.5 47381.2 0.05186342499999999
21.0 54.0 43605.5 47381.2 0.055957650000000005
21.0 57.0 37132.1 47381.2 0.03958437499999998
21.0 60.0 38236.8 47381.2 0.12373232499999998
21.0 63.0 51921.5 47381.2 0.045658249999999956
21.0 66.0 29450.1 47381.2 -0.10246804999999998
21.0 69.0 29450.1 47381.2 -0.1093324
21.0 72.0 27064.8 47381.2 -0.06799032499999998
21.0 75.0 33550.9 47381.2 -0.08166625
21.0 78.0 42318.0 47381.2 -0.07501327499999996
21.0 81.0 36050.1 47381.2 0.05029792499999999
21.0 84.0 33343.5 47381.2 -0.05090302499999998
21.0 87.0 43450.1 47381.2 0.04710797500000002
21.0 90.0 29720.9 47381.2 -0.003460874999999989
21.0 93.0 63544.5 47381.2 0.2697397
21.0 96.0 48462.4 47381.2 0.129851925
21.0 99.0 48412.7 47381.2 0.16400384999999998
21.0 102.0 36323.9 47381.2 -0.038781925
21.0 105.0 47599.4 47381.2 0.07935382500000002
21.0 108.0 44849.4 47381.2 0.03275289999999998
21.0 111.0 39180.4 47381.2 0.024243025000000026
21.0 114.0 27647.3 47381.2 -0.11376087499999996
21.0 117.0 30019.0 47381.2 -0.233141275
21.0 120.0 28922.4 47381.2 -0.21523609999999993
21.0 123.0 38735.8 47381.2 -0.13884795000000003
21.0 126.0 37805.5 47381.2 0.045872550000000005
21.0 129.0 38347.8 47381.2 0.024911374999999996
21.0 132.0 43088.1 47381.2 0.02595112499999999
21.0 135.0 47055.9 47381.2 -0.025033625000000018
21.0 138.0 46703.8 47381.2 0.037232924999999965
