 theta   phi  intensity
  27.0  78.0    30048.1
  27.0  81.0    21579.5
  27.0  84.0    21579.5
  27.0  87.0    38081.3
  27.0  90.0    36041.9
  27.0  93.0    37914.1
  27.0  96.0    36486.7
  27.0  99.0    31392.1
  27.0 102.0    32892.1
  27.0 105.0    40107.5
  27.0 108.0    28990.5
  27.0 111.0    25112.6
  27.0 114.0    25112.6
  27.0 117.0    25014.1
  27.0 120.0    14859.0
  27.0 123.0    24962.8
  27.0 126.0    39111.4
  27.0 129.0    27695.4
  27.0 132.0    34649.3
  27.0 135.0    46127.9
  27.0 138.0    40058.8
  27.0 141.0    33214.6
  27.0 144.0    35079.7
  27.0 147.0    30322.8
  27.0 150.0    32729.2
  27.0 153.0    31362.3
  27.0 156.0    36923.3
  27.0 159.0    36923.3
  27.0 162.0    24049.4
  27.0 165.0    37244.1
  27.0 168.0    37244.1
  27.0 171.0    30225.6
  27.0 174.0    45977.9
  27.0 177.0    34816.1
  27.0 180.0    41991.2
  27.0 183.0    36736.5
  27.0 186.0    37109.2
  27.0 189.0    43283.8
  27.0 192.0    45774.4
  27.0 195.0    49734.1
  27.0 198.0    49734.1
  27.0 201.0    54748.3
  27.0 204.0    54881.7
  27.0 207.0    38048.3
  27.0 210.0    45380.4
  27.0 213.0    41904.3
  27.0 216.0    45910.1
  27.0 219.0    45910.1
  27.0 222.0    48661.5
  27.0 225.0    50698.3
  27.0 228.0    42940.8
  27.0 231.0    47106.0
  27.0 234.0    60982.6
  27.0 237.0    49667.0
  27.0 240.0    38252.3
  27.0 243.0    50687.0
  27.0 246.0    54945.4
  27.0 249.0    51990.2
  27.0 252.0    50262.9
  27.0 255.0    51519.0
  27.0 258.0    45477.2
  27.0 261.0    44345.4
  27.0 264.0    41875.8
  27.0 267.0    46110.7
  27.0 270.0    53683.7
  27.0 273.0    55591.2
  27.0 276.0    54630.6
  27.0 279.0    61092.2
  27.0 282.0    45540.2
  27.0 285.0    58673.8
  27.0 288.0    47956.9
  27.0 291.0    58151.6
  27.0 294.0    46283.2
  27.0 297.0    51048.4
  27.0 300.0    45915.1
  27.0 303.0    34842.5
  27.0 306.0    50376.0
  27.0 309.0    54938.3
  27.0 312.0    47355.0
  27.0 315.0    33123.3
  27.0 318.0    47041.0
  27.0 321.0    41259.7
  27.0 324.0    60071.6
  27.0 327.0    45280.6
  27.0 330.0    46507.9
  27.0 333.0    45048.2
  27.0 336.0    59209.2
  27.0 339.0    43876.4
  27.0 342.0    30273.1
  27.0 345.0    37789.8
  27.0 348.0    44065.6
  27.0 351.0    53855.5
  27.0 354.0    38721.7
  27.0 357.0    34793.0
  30.0   0.0   136665.7
  30.0   3.0   122797.7
  30.0   6.0   102378.0
  30.0   9.0   107680.9
  30.0  12.0    78527.1
  30.0  15.0   120176.6
  30.0  18.0    79836.7
  30.0  21.0   123661.0
  30.0  24.0   123661.0
  30.0  27.0    81297.4
  30.0  30.0    67095.2
  30.0  33.0    96117.9
  30.0  36.0    66846.0
  30.0  39.0    96100.1
  30.0  42.0    57057.3
  30.0  45.0   109046.3
  30.0  48.0    91652.5
  30.0  51.0    87849.9
  30.0  54.0   100326.7
  30.0  57.0    77312.2
  30.0  60.0    70803.9
  30.0  63.0    72232.9
  30.0  66.0    68356.9
  30.0  69.0    71156.3
  30.0  72.0    71156.3
  30.0  75.0    83137.2
  30.0  78.0    55851.6
  30.0  81.0    80311.5
  30.0  84.0    74570.5
  30.0  87.0    72701.5
  30.0  90.0    68057.7
  30.0  93.0    77861.6
  30.0  96.0    88769.1
  30.0  99.0    88769.1
  30.0 102.0    65751.4
  30.0 105.0    52983.8
  30.0 108.0    66429.1
  30.0 111.0    79445.5
  30.0 114.0    65650.0
  30.0 117.0    55469.4
  30.0 120.0    57905.9
  30.0 123.0    67737.7
  30.0 126.0    72123.7
  30.0 129.0    44918.2
  30.0 132.0    96313.3
  30.0 135.0    78298.8
  30.0 138.0    84617.7
  30.0 141.0    60548.2
  30.0 144.0    70293.0
  30.0 147.0    76452.0
  30.0 150.0    80363.3
  30.0 153.0    86667.8
  30.0 156.0    76868.0
  30.0 159.0    82536.1
  30.0 162.0    59596.4
  30.0 165.0    78408.2
  30.0 168.0    85616.3
  30.0 171.0    69962.9
  30.0 174.0    72058.5
  30.0 177.0    85176.7
  30.0 180.0    92801.2
  30.0 183.0   111107.1
  30.0 186.0    85477.7
  30.0 189.0   111594.3
  30.0 192.0   119329.4
  30.0 195.0   103917.0
  30.0 198.0   125463.6
  30.0 201.0   100378.9
  30.0 204.0    95625.7
  30.0 207.0    85918.4
  30.0 210.0   119428.1
  30.0 213.0   127287.1
  30.0 216.0    91320.9
  30.0 219.0    97498.8
  30.0 222.0   109234.2
  30.0 225.0   113114.3
  30.0 228.0   106232.3
  30.0 231.0   125992.8
  30.0 234.0   116371.8
  30.0 237.0   124114.6
  30.0 240.0   124137.5
  30.0 243.0   112031.3
  30.0 246.0   136242.1
  30.0 249.0   123548.7
  30.0 252.0   130744.8
  30.0 255.0    87315.6
  30.0 258.0   129101.8
  30.0 261.0   113307.3
  30.0 264.0   109657.6
  30.0 267.0   112552.3
  30.0 270.0   104161.6
  30.0 273.0   146512.9
  30.0 276.0   118246.5
  30.0 279.0   129768.0
  30.0 282.0   127045.5
  30.0 285.0   114541.1
  30.0 288.0   110955.0
  30.0 291.0   116285.9
  30.0 294.0   121097.0
  30.0 297.0   132329.8
  30.0 300.0   134108.9
  30.0 303.0   104963.5
  30.0 306.0   121187.7
  30.0 309.0   124107.4
  30.0 312.0    98559.7
  30.0 315.0   122065.3
  30.0 318.0    77824.1
  30.0 321.0    95870.9
  30.0 324.0   100204.3
  30.0 327.0   102976.5
  30.0 330.0    98542.6
  30.0 333.0    96474.4
  30.0 336.0    98224.3
  30.0 339.0    87745.4
  30.0 342.0    76546.9
  30.0 345.0    74215.4
  30.0 348.0    86721.4
  30.0 351.0    61894.6
  30.0 354.0   103556.0
  30.0 357.0    85992.1
  33.0   0.0    85378.1
  33.0   3.0    89444.0
  33.0   6.0    88542.6
  33.0   9.0    86661.4
  33.0  12.0    91801.2
  33.0  15.0    80058.4
  33.0  18.0    76079.2
  33.0  21.0    80467.1
  33.0  24.0    69906.5
  33.0  27.0    70140.0
  33.0  30.0    72824.4
  33.0  33.0    72780.9
  33.0  36.0    71547.0
  33.0  39.0    68559.9
  33.0  42.0    66729.9
  33.0  45.0    65509.0
  33.0  48.0    69807.0
  33.0  51.0    79040.0
  33.0  54.0    82147.2
  33.0  57.0    54054.3
  33.0  60.0    72744.5
  33.0  63.0    86609.1
